fecha_matrimonio,genero_1,genero_2,comuna
1/2/2018,Masculino,Femenino,1
1/2/2018,Masculino,Femenino,12
1/2/2018,Masculino,Femenino,12
1/2/2018,Femenino,Masculino,12
1/2/2018,Masculino,Femenino,7
1/2/2018,Masculino,Femenino,7
1/3/2018,Masculino,Femenino,1
1/3/2018,Masculino,Femenino,1
1/3/2018,Masculino,Femenino,12
1/3/2018,Masculino,Femenino,14
1/3/2018,Masculino,Femenino,4
1/3/2018,Femenino,Masculino,5
1/3/2018,Femenino,Masculino,7
1/4/2018,Masculino,Femenino,1
1/4/2018,Masculino,Femenino,1
1/4/2018,Masculino,Femenino,1
1/4/2018,Masculino,Femenino,1
1/4/2018,Masculino,Femenino,1
1/4/2018,Femenino,Masculino,12
1/4/2018,Femenino,Masculino,12
1/4/2018,Femenino,Masculino,12
1/4/2018,Masculino,Femenino,12
1/4/2018,Femenino,Masculino,12
1/4/2018,Masculino,Femenino,13
1/4/2018,Femenino,Masculino,13
1/4/2018,Masculino,Femenino,14
1/4/2018,Masculino,Femenino,14
1/4/2018,Masculino,Femenino,14
1/4/2018,Masculino,Femenino,14
1/4/2018,Femenino,Masculino,15
1/4/2018,Masculino,Femenino,5
1/4/2018,Femenino,Masculino,5
1/4/2018,Masculino,Femenino,6
1/4/2018,Masculino,Femenino,6
1/4/2018,Femenino,Masculino,7
1/4/2018,Masculino,Femenino,8
1/5/2018,Masculino,Femenino,1
1/5/2018,Masculino,Femenino,1
1/5/2018,Masculino,Femenino,1
1/5/2018,Masculino,Femenino,1
1/5/2018,Masculino,Femenino,1
1/5/2018,Masculino,Femenino,1
1/5/2018,Masculino,Femenino,1
1/5/2018,Masculino,Femenino,1
1/5/2018,Masculino,Femenino,1
1/5/2018,Masculino,Femenino,1
1/5/2018,Masculino,Femenino,1
1/5/2018,Masculino,Femenino,1
1/5/2018,Masculino,Femenino,1
1/5/2018,Masculino,Femenino,1
1/5/2018,Masculino,Femenino,1
1/5/2018,Masculino,Femenino,1
1/5/2018,Masculino,Femenino,1
1/5/2018,Masculino,Femenino,1
1/5/2018,Femenino,Femenino,1
1/5/2018,Masculino,Femenino,11
1/5/2018,Masculino,Femenino,11
1/5/2018,Femenino,Masculino,11
1/5/2018,Femenino,Masculino,11
1/5/2018,Masculino,Femenino,11
1/5/2018,Masculino,Femenino,11
1/5/2018,Femenino,Masculino,11
1/5/2018,Femenino,Masculino,12
1/5/2018,Femenino,Masculino,12
1/5/2018,Femenino,Masculino,12
1/5/2018,Masculino,Femenino,12
1/5/2018,Femenino,Masculino,13
1/5/2018,Masculino,Femenino,13
1/5/2018,Femenino,Masculino,13
1/5/2018,Masculino,Femenino,13
1/5/2018,Masculino,Femenino,13
1/5/2018,Masculino,Femenino,13
1/5/2018,Masculino,Femenino,13
1/5/2018,Femenino,Masculino,13
1/5/2018,Masculino,Femenino,14
1/5/2018,Masculino,Femenino,14
1/5/2018,Masculino,Femenino,14
1/5/2018,Masculino,Femenino,14
1/5/2018,Masculino,Femenino,14
1/5/2018,Masculino,Femenino,14
1/5/2018,Femenino,Masculino,15
1/5/2018,Femenino,Masculino,15
1/5/2018,Femenino,Masculino,15
1/5/2018,Femenino,Masculino,15
1/5/2018,Masculino,Femenino,2
1/5/2018,Masculino,Femenino,2
1/5/2018,Masculino,Femenino,2
1/5/2018,Masculino,Masculino,2
1/5/2018,Femenino,Masculino,3
1/5/2018,Masculino,Femenino,4
1/5/2018,No declara,Femenino,4
1/5/2018,Masculino,Femenino,4
1/5/2018,Masculino,Femenino,5
1/5/2018,Masculino,Femenino,5
1/5/2018,Masculino,Femenino,5
1/5/2018,Masculino,Femenino,5
1/5/2018,Masculino,Femenino,5
1/5/2018,Masculino,Femenino,6
1/5/2018,Masculino,Femenino,6
1/5/2018,Masculino,Femenino,6
1/5/2018,Masculino,Femenino,6
1/5/2018,Masculino,Femenino,6
1/5/2018,Masculino,Femenino,7
1/5/2018,Masculino,Femenino,7
1/5/2018,Masculino,Femenino,7
1/5/2018,Femenino,Masculino,7
1/5/2018,Masculino,Femenino,7
1/5/2018,Masculino,Femenino,7
1/5/2018,Masculino,Femenino,8
1/5/2018,Masculino,Femenino,8
1/5/2018,Masculino,Femenino,8
1/5/2018,Masculino,Femenino,8
1/6/2018,Masculino,Femenino,1
1/8/2018,Masculino,Femenino,1
1/8/2018,Masculino,Femenino,1
1/8/2018,Masculino,Femenino,1
1/8/2018,Masculino,Femenino,1
1/8/2018,Masculino,Femenino,1
1/8/2018,Masculino,Femenino,11
1/8/2018,Masculino,Femenino,11
1/8/2018,Masculino,Femenino,13
1/8/2018,Masculino,Femenino,13
1/8/2018,Femenino,Masculino,15
1/8/2018,Masculino,Femenino,2
1/8/2018,Femenino,Masculino,3
1/8/2018,Femenino,Femenino,4
1/8/2018,Masculino,Femenino,7
1/8/2018,Femenino,Masculino,7
1/8/2018,Masculino,Femenino,8
1/9/2018,Masculino,Femenino,1
1/9/2018,Masculino,Femenino,1
1/9/2018,Masculino,Femenino,1
1/9/2018,Masculino,Femenino,1
1/9/2018,Femenino,Masculino,11
1/9/2018,Masculino,Femenino,14
1/9/2018,Masculino,Femenino,14
1/9/2018,Masculino,Masculino,14
1/9/2018,Masculino,Femenino,4
1/9/2018,Masculino,Femenino,5
1/9/2018,Masculino,Femenino,5
1/9/2018,Femenino,Masculino,5
1/9/2018,Masculino,Femenino,6
1/9/2018,Femenino,Masculino,7
1/9/2018,Femenino,Masculino,7
1/10/2018,Masculino,Femenino,1
1/10/2018,Masculino,Femenino,1
1/10/2018,Masculino,Femenino,1
1/10/2018,Masculino,Femenino,1
1/10/2018,Masculino,Femenino,1
1/10/2018,Masculino,Femenino,1
1/10/2018,Masculino,Femenino,1
1/10/2018,Masculino,Femenino,11
1/10/2018,Masculino,Femenino,13
1/10/2018,Femenino,Masculino,13
1/10/2018,Masculino,Femenino,14
1/10/2018,Masculino,Femenino,14
1/10/2018,Femenino,Masculino,15
1/10/2018,Masculino,Femenino,5
1/10/2018,Masculino,Masculino,5
1/10/2018,Masculino,Femenino,6
1/10/2018,Masculino,Femenino,7
1/10/2018,Masculino,Femenino,8
1/11/2018,Masculino,Femenino,1
1/11/2018,Masculino,Femenino,1
1/11/2018,Masculino,Femenino,1
1/11/2018,Masculino,Femenino,1
1/11/2018,Masculino,Femenino,1
1/11/2018,Masculino,Femenino,1
1/11/2018,Femenino,Femenino,1
