Pais;Continente
Algeria;AFRICA
Angola;AFRICA
Benin;AFRICA
Botswana;AFRICA
Burkina;AFRICA
Burundi;AFRICA
Camerun;AFRICA
Cape Verde;AFRICA
Republica Centroafricana;AFRICA
Chad;AFRICA
Comoros;AFRICA
Congo;AFRICA
Republica Democratica del Congo;AFRICA
Djibouti;AFRICA
Egipto;AFRICA
Equatorial Guinea;AFRICA
Eritrea;AFRICA
Etiopia;AFRICA
Gabon;AFRICA
Gambia;AFRICA
Ghana;AFRICA
Guinea;AFRICA
Guinea-Bissau;AFRICA
Ivory Coast;AFRICA
Kenya;AFRICA
Lesoto;AFRICA
Liberia;AFRICA
Libia;AFRICA
Madagascar;AFRICA
Malawi;AFRICA
Mali;AFRICA
Mauritania;AFRICA
Mauritius;AFRICA
Morocco;AFRICA
Mozambique;AFRICA
Namibia;AFRICA
Niger;AFRICA
Nigeria;AFRICA
Rwanda;AFRICA
Santo Tome y Principe;AFRICA
Senegal;AFRICA
Seychelles;AFRICA
Sierra Leone;AFRICA
Somalia;AFRICA
Sudafrica;AFRICA
Sudan del Sur;AFRICA
Sudan;AFRICA
Swaziland;AFRICA
Tanzania;AFRICA
Togo;AFRICA
Tunisia;AFRICA
Uganda;AFRICA
Zambia;AFRICA
Zimbabwe;AFRICA
Afghanistan;ASIA
Barein;ASIA
Bangladesh;ASIA
Butan;ASIA
Brunei;ASIA
Burma;ASIA
Cambodia;ASIA
China;ASIA
Timor Oriental;ASIA
India;ASIA
Indonesia;ASIA
Iran;ASIA
Iraq;ASIA
Israel;ASIA
Japon;ASIA
Jordania;ASIA
Kazajistan;ASIA
Corea del Norte;ASIA
Corea del Sur;ASIA
Kuwait;ASIA
Kirguistan;ASIA
Laos;ASIA
Libano;ASIA
Malaysia;ASIA
Maldivas;ASIA
Mongolia;ASIA
Nepal;ASIA
Oman;ASIA
Pakistan;ASIA
Filipinas;ASIA
Catar;ASIA
Rusia;ASIA
Arabia Saudita ;ASIA
Singapur;ASIA
Sri Lanka;ASIA
Siria;ASIA
Tajikistan;ASIA
Tailandia;ASIA
Turquia;ASIA
Turkmenistan;ASIA
Emiratos Arabes Unidos;ASIA
Uzbekistan;ASIA
Vietnam;ASIA
Yemen;ASIA
Albania;EUROPA
Andorra;EUROPA
Armenia;EUROPA
Austria;EUROPA
Azerbaijan;EUROPA
Belarus;EUROPA
Belgium;EUROPA
Bosnia;EUROPA
Bulgaria;EUROPA
Croacia;EUROPA
Chipre;EUROPA
Republica Checa;EUROPA
Dinamarca;EUROPA
Estonia;EUROPA
Finlandia;EUROPA
Francia;EUROPA
Georgia;EUROPA
Alemania;EUROPA
Grecia;EUROPA
Hungria;EUROPA
Islandia;EUROPA
Irlanda;EUROPA
Italia;EUROPA
Letonia;EUROPA
Liechtenstein;EUROPA
Lituania;EUROPA
Luxemburgo;EUROPA
Macedonia;EUROPA
Malta;EUROPA
Moldova;EUROPA
Monaco;EUROPA
Montenegro;EUROPA
Paises Bajos;EUROPA
Noruega;EUROPA
Polonia;EUROPA
Portugal;EUROPA
Rumania;EUROPA
San Marino;EUROPA
Serbia;EUROPA
Eslovaquia;EUROPA
Eslovenia;EUROPA
España;EUROPA
Suecia;EUROPA
Suiza;EUROPA
Ucrania;EUROPA
Reino Unido;EUROPA
Vaticano;EUROPA
Antigua y Barbuda;AMERICA
Bahamas;AMERICA
Barbados;AMERICA
Belice;AMERICA
Canada;AMERICA
Costa Rica;AMERICA
Cuba;AMERICA
Dominica;AMERICA
Republica Dominicana;AMERICA
El Salvador;AMERICA
Granada;AMERICA
Guatemala;AMERICA
Haiti;AMERICA
Honduras;AMERICA
Jamaica;AMERICA
Mexico;AMERICA
Nicaragua;AMERICA
Panama;AMERICA
San Cristobal y Nieves;AMERICA
Saint Lucia;AMERICA
San Vicente y las Granadinas;AMERICA
Trinidad y Tobago;AMERICA
Estados Unidos;AMERICA
Australia;OCEANIA
Fiyi;OCEANIA
Kiribati;OCEANIA
Islas Marshall;OCEANIA
Micronesia;OCEANIA
Nauru;OCEANIA
Nueva Zelanda;OCEANIA
Palaos;OCEANIA
Papua Nueva Guinea;OCEANIA
Samoa;OCEANIA
Islas Salomon ;OCEANIA
Tonga;OCEANIA
Tuvalu;OCEANIA
Vanuatu;OCEANIA
Argentina;AMERICA
Bolivia;AMERICA
Brasil;AMERICA
Chile;AMERICA
Colombia;AMERICA
Ecuador;AMERICA
Guyana;AMERICA
Paraguay;AMERICA
Peru;AMERICA
Surinam;AMERICA
Uruguay;AMERICA
Venezuela;AMERICA
